Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,FWI,
2009, 4, eco311, 1, 8.32, 2.4, 14.6, 0, 0, 0, 0, 0.06, 0, 
2009, 5, eco311, 1, 12.98, 7.3, 19.1, 0, 0, 0, 0, 0.06, 0, 
2009, 6, eco311, 1, 18.2, 12, 21.6, 0, 0, 0, 0, 0.06, 0, 
2009, 7, eco311, 1, 25.36, 13.7, 24, 0, 0, 0, 0, 0.06, 0, 
2009, 8, eco311, 1, 8.43, 15.3, 25.9, 0, 0, 0, 0, 0.06, 0, 
2009, 9, eco311, 1, 3.37, 9.2, 20.3, 0, 0, 0, 0, 0.06, 0, 
2009, 10, eco311, 1, 16.89, 3.4, 12.9, 0, 0, 0, 0, 0.06, 0, 
2009, 11, eco311, 1, 6.14, 2.2, 10.3, 0, 0, 0, 0, 0.06, 0, 
2009, 12, eco311, 1, 9.04, -7.7, 0.8, 0, 0, 0, 0, 0.06, 0, 
2010, 1, eco311, 1, 6.81, -9, -0.5, 0, 0, 0, 0, 0.05, 0, 
2010, 2, eco311, 1, 8.66, -6.8, 0.9, 0, 0, 0, 0, 0.05, 0, 
2010, 3, eco311, 1, 18.9, 0.1, 9.3, 0, 0, 0, 0, 0.05, 0, 
2010, 4, eco311, 1, 3.03, 3.4, 16.1, 0, 0, 0, 0, 0.05, 0, 
2010, 5, eco311, 1, 5.85, 8.9, 21.8, 0, 0, 0, 0, 0.05, 0, 
2010, 6, eco311, 1, 10.47, 13.4, 24, 0, 0, 0, 0, 0.05, 0, 
2010, 7, eco311, 1, 7.85, 16.3, 28, 0, 0, 0, 0, 0.05, 0, 
2010, 8, eco311, 1, 8.23, 14.8, 25.9, 0, 0, 0, 0, 0.05, 0, 
2010, 9, eco311, 1, 7.62, 12, 22.6, 0, 0, 0, 0, 0.05, 0, 
2010, 10, eco311, 1, 15.38, 4.4, 14.6, 0, 0, 0, 0, 0.05, 0, 
2010, 11, eco311, 1, 10.34, -0.7, 8.4, 0, 0, 0, 0, 0.05, 0, 
2010, 12, eco311, 1, 7.64, -7.8, 0.6, 0, 0, 0, 0, 0.05, 0, 
2011, 1, eco311, 1, 6.19, -11.1, -1.9, 0, 0, 0, 0, 0.07, 0, 
2011, 2, eco311, 1, 10.37, -9.8, 1, 0, 0, 0, 0, 0.07, 0, 
2011, 3, eco311, 1, 14.47, -4.5, 5.2, 0, 0, 0, 0, 0.07, 0, 
2011, 4, eco311, 1, 13.63, 2.6, 13.1, 0, 0, 0, 0, 0.07, 0, 
2011, 5, eco311, 1, 9.26, 9.2, 20.1, 0, 0, 0, 0, 0.07, 0, 
2011, 6, eco311, 1, 13.44, 12, 23.1, 0, 0, 0, 0, 0.07, 0, 
2011, 7, eco311, 1, 5.78, 16.1, 27.9, 0, 0, 0, 0, 0.07, 0, 
2011, 8, eco311, 1, 27.11, 14.9, 25.4, 0, 0, 0, 0, 0.07, 0, 
2011, 9, eco311, 1, 21.41, 13, 22.4, 0, 0, 0, 0, 0.07, 0, 
2011, 10, eco311, 1, 17.71, 5.3, 14.5, 0, 0, 0, 0, 0.07, 0, 
2011, 11, eco311, 1, 10.09, 2.2, 12, 0, 0, 0, 0, 0.07, 0, 
2011, 12, eco311, 1, 12.47, -3.5, 5.7, 0, 0, 0, 0, 0.07, 0, 
2012, 1, eco311, 1, 5.86, -7.3, 2.2, 0, 0, 0, 0, 0.07, 0, 
2012, 2, eco311, 1, 2.7, -5.4, 4.5, 0, 0, 0, 0, 0.07, 0, 
2012, 3, eco311, 1, 2.37, 0.4, 11.5, 0, 0, 0, 0, 0.07, 0, 
2012, 4, eco311, 1, 5.6, 1.9, 14.6, 0, 0, 0, 0, 0.07, 0, 
2012, 5, eco311, 1, 9.36, 10.1, 20.9, 0, 0, 0, 0, 0.07, 0, 
2012, 6, eco311, 1, 8.37, 11.8, 23.4, 0, 0, 0, 0, 0.07, 0, 
2012, 7, eco311, 1, 3.94, 16, 28, 0, 0, 0, 0, 0.07, 0, 
2012, 8, eco311, 1, 13.94, 15.4, 27.2, 0, 0, 0, 0, 0.07, 0, 
2012, 9, eco311, 1, 14.01, 10.4, 21, 0, 0, 0, 0, 0.07, 0, 
2012, 10, eco311, 1, 11.59, 6.4, 15, 0, 0, 0, 0, 0.07, 0, 
2012, 11, eco311, 1, 1.38, -1.6, 7.2, 0, 0, 0, 0, 0.07, 0, 
2012, 12, eco311, 1, 9.18, -3.8, 3.6, 0, 0, 0, 0, 0.07, 0, 
2013, 1, eco311, 1, 5.93, -8.7, 0.6, 0, 0, 0, 0, 0.06, 0, 
2013, 2, eco311, 1, 6.26, -7.3, 0.5, 0, 0, 0, 0, 0.06, 0, 
2013, 3, eco311, 1, 7.36, -4.2, 4.8, 0, 0, 0, 0, 0.06, 0, 
2013, 4, eco311, 1, 5.24, 1.2, 13.1, 0, 0, 0, 0, 0.06, 0, 
2013, 5, eco311, 1, 14.16, 6.8, 20.4, 0, 0, 0, 0, 0.06, 0, 
2013, 6, eco311, 1, 24.43, 12.8, 23.8, 0, 0, 0, 0, 0.06, 0, 
2013, 7, eco311, 1, 5.4, 18, 27.6, 0, 0, 0, 0, 0.06, 0, 
2013, 8, eco311, 1, 13.7, 13.7, 24.6, 0, 0, 0, 0, 0.06, 0, 
2013, 9, eco311, 1, 9.01, 9.1, 21, 0, 0, 0, 0, 0.06, 0, 
2013, 10, eco311, 1, 6.27, 5.1, 15.3, 0, 0, 0, 0, 0.06, 0, 
2013, 11, eco311, 1, 8.32, -3, 7.1, 0, 0, 0, 0, 0.06, 0, 
2013, 12, eco311, 1, 8.65, -7, 1, 0, 0, 0, 0, 0.06, 0, 
