"id","species","type","age","dbh","height","crown_r","crown_l","crown_a","ba"
220,"ACRU","adult",NA,12.8,NA,NA,NA,NA,NA
221,"TSCA","adult",NA,23.5941176470588,NA,NA,NA,NA,NA
222,"ACRU","adult",NA,11.1,NA,NA,NA,NA,NA
223,"ACRU","adult",NA,13.5941176470588,NA,NA,NA,NA,NA
224,"ACRU","adult",NA,15.3,NA,NA,NA,NA,NA
225,"ACRU","adult",NA,22.4058823529412,NA,NA,NA,NA,NA
226,"QURU","adult",NA,23.0705882352941,NA,NA,NA,NA,NA
227,"BEAL","adult",NA,37.5,NA,NA,NA,NA,NA
228,"BEPO","adult",NA,16.6823529411765,NA,NA,NA,NA,NA
229,"ACRU","adult",NA,21,NA,NA,NA,NA,NA
230,"ACRU","adult",NA,15.4705882352941,NA,NA,NA,NA,NA
231,"BEPO","adult",NA,21.7882352941176,NA,NA,NA,NA,NA
232,"TSCA","adult",NA,15.3941176470588,NA,NA,NA,NA,NA
233,"BEPO","adult",NA,20,NA,NA,NA,NA,NA
234,"PIST","adult",NA,39.5705882352941,NA,NA,NA,NA,NA
235,"ACRU","adult",NA,14.3,NA,NA,NA,NA,NA
236,"BEPO","adult",NA,20.1,NA,NA,NA,NA,NA
237,"TSCA","adult",NA,11.7823529411765,NA,NA,NA,NA,NA
238,"BEPO","adult",NA,22,NA,NA,NA,NA,NA
239,"QURU","adult",NA,37.7,NA,NA,NA,NA,NA
240,"BEPO","adult",NA,27.5,NA,NA,NA,NA,NA
241,"TSCA","adult",NA,21.0294117647059,NA,NA,NA,NA,NA
242,"ACRU","adult",NA,12.9,NA,NA,NA,NA,NA
243,"ACRU","adult",NA,16.8,NA,NA,NA,NA,NA
244,"ACRU","adult",NA,10.4411764705882,NA,NA,NA,NA,NA
245,"BELE","adult",NA,26.8588235294118,NA,NA,NA,NA,NA
246,"ACRU","adult",NA,21.1823529411765,NA,NA,NA,NA,NA
247,"TSCA","adult",NA,13.5,NA,NA,NA,NA,NA
248,"ACRU","adult",NA,13.8705882352941,NA,NA,NA,NA,NA
249,"TSCA","adult",NA,17.9529411764706,NA,NA,NA,NA,NA
250,"BEPO","adult",NA,24.2,NA,NA,NA,NA,NA
251,"ACRU","adult",NA,15.5,NA,NA,NA,NA,NA
252,"QURU","adult",NA,10.1,NA,NA,NA,NA,NA
253,"ACRU","adult",NA,16.3,NA,NA,NA,NA,NA
254,"ACRU","adult",NA,11.1,NA,NA,NA,NA,NA
255,"TSCA","adult",NA,16.2529411764706,NA,NA,NA,NA,NA
256,"QURU","adult",NA,22.8764705882353,NA,NA,NA,NA,NA
257,"ACRU","adult",NA,22.8,NA,NA,NA,NA,NA
258,"ACRU","adult",NA,14.9,NA,NA,NA,NA,NA
259,"TSCA","adult",NA,14.1,NA,NA,NA,NA,NA
260,"ACRU","adult",NA,12.8,NA,NA,NA,NA,NA
261,"QURU","adult",NA,36.9705882352941,NA,NA,NA,NA,NA
262,"QURU","adult",NA,22.4,NA,NA,NA,NA,NA
263,"ACRU","adult",NA,14.9,NA,NA,NA,NA,NA
264,"ACRU","adult",NA,21,NA,NA,NA,NA,NA
265,"ACRU","adult",NA,12.6,NA,NA,NA,NA,NA
266,"ACRU","adult",NA,11.0941176470588,NA,NA,NA,NA,NA
267,"PIST","adult",NA,25.4176470588235,NA,NA,NA,NA,NA
268,"TSCA","adult",NA,24.3647058823529,NA,NA,NA,NA,NA
269,"ACRU","adult",NA,15.2,NA,NA,NA,NA,NA
270,"TSCA","adult",NA,18.5882352941176,NA,NA,NA,NA,NA
271,"TSCA","adult",NA,11.3,NA,NA,NA,NA,NA
272,"QURU","adult",NA,45.5941176470588,NA,NA,NA,NA,NA
273,"ACRU","adult",NA,11.2,NA,NA,NA,NA,NA
274,"TSCA","adult",NA,19.4058823529412,NA,NA,NA,NA,NA
275,"ACRU","adult",NA,24.7705882352941,NA,NA,NA,NA,NA
276,"QURU","adult",NA,40.5117647058824,NA,NA,NA,NA,NA
277,"QURU","adult",NA,36.8941176470588,NA,NA,NA,NA,NA
278,"PIST","adult",NA,18.2,NA,NA,NA,NA,NA
279,"FAGR","adult",NA,22.6764705882353,NA,NA,NA,NA,NA
280,"QURU","adult",NA,47.9647058823529,NA,NA,NA,NA,NA
281,"ACRU","adult",NA,30.1,NA,NA,NA,NA,NA
282,"PIST","adult",NA,34.8,NA,NA,NA,NA,NA
283,"ACRU","adult",NA,13.4,NA,NA,NA,NA,NA
284,"QURU","adult",NA,33.9705882352941,NA,NA,NA,NA,NA
285,"PIST","adult",NA,20.2058823529412,NA,NA,NA,NA,NA
286,"ACRU","adult",NA,17.5117647058824,NA,NA,NA,NA,NA
287,"ACRU","adult",NA,12.4,NA,NA,NA,NA,NA
288,"PIST","adult",NA,43.1235294117647,NA,NA,NA,NA,NA
289,"TSCA","adult",NA,47.0058823529412,NA,NA,NA,NA,NA
290,"PIST","adult",NA,20.2,NA,NA,NA,NA,NA
291,"PIST","adult",NA,15.5,NA,NA,NA,NA,NA
292,"ACRU","adult",NA,22.2823529411765,NA,NA,NA,NA,NA
293,"ACRU","adult",NA,20.5176470588235,NA,NA,NA,NA,NA
294,"TSCA","adult",NA,43.9882352941176,NA,NA,NA,NA,NA
295,"PIST","adult",NA,28.1058823529412,NA,NA,NA,NA,NA
296,"ACRU","adult",NA,24.3705882352941,NA,NA,NA,NA,NA
297,"ACRU","adult",NA,15.6882352941176,NA,NA,NA,NA,NA
298,"ACRU","adult",NA,15.4,NA,NA,NA,NA,NA
299,"QURU","adult",NA,14.8882352941176,NA,NA,NA,NA,NA
300,"ACRU","adult",NA,14.4352941176471,NA,NA,NA,NA,NA
301,"TSCA","adult",NA,32.2,NA,NA,NA,NA,NA
302,"ACRU","adult",NA,13.6,NA,NA,NA,NA,NA
303,"ACRU","adult",NA,18.9,NA,NA,NA,NA,NA
304,"TSCA","adult",NA,23.3,NA,NA,NA,NA,NA
305,"TSCA","adult",NA,19,NA,NA,NA,NA,NA
306,"FAGR","adult",NA,23.5117647058824,NA,NA,NA,NA,NA
307,"QURU","adult",NA,32.1882352941176,NA,NA,NA,NA,NA
308,"TSCA","adult",NA,33.6705882352941,NA,NA,NA,NA,NA
309,"QURU","adult",NA,33.1705882352941,NA,NA,NA,NA,NA
310,"TSCA","adult",NA,13.7294117647059,NA,NA,NA,NA,NA
311,"TSCA","adult",NA,32.2411764705882,NA,NA,NA,NA,NA
312,"TSCA","adult",NA,14.5941176470588,NA,NA,NA,NA,NA
313,"TSCA","adult",NA,12.3,NA,NA,NA,NA,NA
314,"TSCA","adult",NA,18.3,NA,NA,NA,NA,NA
315,"TSCA","adult",NA,30.4941176470588,NA,NA,NA,NA,NA
316,"BEAL","adult",NA,43.3705882352941,NA,NA,NA,NA,NA
317,"QURU","adult",NA,26.9,NA,NA,NA,NA,NA
318,"TSCA","adult",NA,43.4,NA,NA,NA,NA,NA
319,"ACRU","adult",NA,14.7,NA,NA,NA,NA,NA
320,"TSCA","adult",NA,24.4,NA,NA,NA,NA,NA
321,"ACRU","adult",NA,23.0705882352941,NA,NA,NA,NA,NA
322,"TSCA","adult",NA,29.5,NA,NA,NA,NA,NA
323,"ACRU","adult",NA,11.6,NA,NA,NA,NA,NA
324,"TSCA","adult",NA,20.2294117647059,NA,NA,NA,NA,NA
325,"TSCA","adult",NA,28.2529411764706,NA,NA,NA,NA,NA
326,"QURU","adult",NA,43.6823529411765,NA,NA,NA,NA,NA
327,"QURU","adult",NA,23.4823529411765,NA,NA,NA,NA,NA
328,"QURU","adult",NA,38.8411764705882,NA,NA,NA,NA,NA
329,"TSCA","adult",NA,35.2823529411765,NA,NA,NA,NA,NA
330,"ACRU","adult",NA,23.7,NA,NA,NA,NA,NA
331,"QURU","adult",NA,60.0411764705882,NA,NA,NA,NA,NA
332,"BEAL","adult",NA,11.7,NA,NA,NA,NA,NA
333,"TSCA","adult",NA,18.5,NA,NA,NA,NA,NA
334,"QURU","adult",NA,35,NA,NA,NA,NA,NA
335,"ACRU","adult",NA,14.0058823529412,NA,NA,NA,NA,NA
336,"PIST","adult",NA,13.9,NA,NA,NA,NA,NA
337,"BEAL","adult",NA,16.4,NA,NA,NA,NA,NA
338,"QURU","adult",NA,56.3647058823529,NA,NA,NA,NA,NA
339,"QURU","adult",NA,40.4,NA,NA,NA,NA,NA
340,"QURU","adult",NA,33.2764705882353,NA,NA,NA,NA,NA
341,"QURU","adult",NA,34,NA,NA,NA,NA,NA
342,"QURU","adult",NA,43.3705882352941,NA,NA,NA,NA,NA
343,"ACRU","adult",NA,18.2058823529412,NA,NA,NA,NA,NA
344,"ACRU","adult",NA,10.5,NA,NA,NA,NA,NA
345,"QURU","adult",NA,51.7058823529412,NA,NA,NA,NA,NA
346,"ACRU","adult",NA,11.1058823529412,NA,NA,NA,NA,NA
347,"ACRU","adult",NA,20.4,NA,NA,NA,NA,NA
348,"ACRU","adult",NA,16.7,NA,NA,NA,NA,NA
349,"ACRU","adult",NA,19.9470588235294,NA,NA,NA,NA,NA
350,"TSCA","adult",NA,29.6882352941176,NA,NA,NA,NA,NA
351,"ACRU","adult",NA,36.1294117647059,NA,NA,NA,NA,NA
352,"ACRU","adult",NA,15,NA,NA,NA,NA,NA
353,"TSCA","adult",NA,26.7823529411765,NA,NA,NA,NA,NA
354,"QURU","adult",NA,38.2647058823529,NA,NA,NA,NA,NA
355,"BEAL","adult",NA,16,NA,NA,NA,NA,NA
356,"BEAL","adult",NA,32.3,NA,NA,NA,NA,NA
357,"FAGR","adult",NA,11.3823529411765,NA,NA,NA,NA,NA
358,"TSCA","adult",NA,38.3823529411765,NA,NA,NA,NA,NA
359,"ACRU","adult",NA,14.8,NA,NA,NA,NA,NA
360,"ACRU","adult",NA,24.4941176470588,NA,NA,NA,NA,NA
361,"QURU","adult",NA,47.2470588235294,NA,NA,NA,NA,NA
362,"ACRU","adult",NA,13.3,NA,NA,NA,NA,NA
363,"QURU","adult",NA,44.8823529411765,NA,NA,NA,NA,NA
364,"TSCA","adult",NA,11.6,NA,NA,NA,NA,NA
365,"QURU","adult",NA,53.9764705882353,NA,NA,NA,NA,NA
366,"TSCA","adult",NA,15.4,NA,NA,NA,NA,NA
367,"BEAL","adult",NA,14.6352941176471,NA,NA,NA,NA,NA
368,"TSCA","adult",NA,20.2,NA,NA,NA,NA,NA
369,"PIST","adult",NA,17.8,NA,NA,NA,NA,NA
370,"QURU","adult",NA,63.7294117647059,NA,NA,NA,NA,NA
371,"FAGR","adult",NA,11.9882352941176,NA,NA,NA,NA,NA
372,"BELE","adult",NA,47.2,NA,NA,NA,NA,NA
373,"TSCA","adult",NA,15.9,NA,NA,NA,NA,NA
374,"TSCA","adult",NA,11.8,NA,NA,NA,NA,NA
375,"ACRU","adult",NA,17,NA,NA,NA,NA,NA
376,"ACRU","adult",NA,18.1,NA,NA,NA,NA,NA
377,"ACRU","adult",NA,28.6823529411765,NA,NA,NA,NA,NA
378,"QURU","adult",NA,26.0823529411765,NA,NA,NA,NA,NA
379,"ACRU","adult",NA,26.3,NA,NA,NA,NA,NA
380,"FAGR","adult",NA,20.0882352941176,NA,NA,NA,NA,NA
381,"ACRU","adult",NA,25.2,NA,NA,NA,NA,NA
382,"TSCA","adult",NA,17.2352941176471,NA,NA,NA,NA,NA
383,"BEAL","adult",NA,17.1,NA,NA,NA,NA,NA
384,"TSCA","adult",NA,36.6529411764706,NA,NA,NA,NA,NA
385,"FRAM","adult",NA,17.6882352941176,NA,NA,NA,NA,NA
386,"ACRU","adult",NA,17.4117647058824,NA,NA,NA,NA,NA
387,"ACRU","adult",NA,16.9,NA,NA,NA,NA,NA
388,"PRSE","adult",NA,23.7705882352941,NA,NA,NA,NA,NA
389,"FRAM","adult",NA,18.1,NA,NA,NA,NA,NA
390,"ACRU","adult",NA,22.7,NA,NA,NA,NA,NA
391,"ACRU","adult",NA,19.7,NA,NA,NA,NA,NA
392,"ACRU","adult",NA,22.2,NA,NA,NA,NA,NA
393,"BEAL","adult",NA,12.9,NA,NA,NA,NA,NA
394,"ACRU","adult",NA,24.1,NA,NA,NA,NA,NA
395,"ACRU","adult",NA,28.5588235294118,NA,NA,NA,NA,NA
396,"ACRU","adult",NA,17.4,NA,NA,NA,NA,NA
397,"FRAM","adult",NA,26.1823529411765,NA,NA,NA,NA,NA
