# ppt,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
2011-03T00:00:00Z,5.2,0,0
2011-04T00:00:00Z,13.1,0,0
2011-05T00:00:00Z,20.1,0,0
2011-06T00:00:00Z,23.1,0,0
2011-07T00:00:00Z,27.9,0,0
2011-08T00:00:00Z,25.4,0,0
2011-09T00:00:00Z,22.4,0,0
2011-10T00:00:00Z,14.5,0,0
2011-11T00:00:00Z,12,0,0
2011-12T00:00:00Z,5.7,0,0
2012-01T00:00:00Z,2.2,0,0
2012-02T00:00:00Z,4.5,0,0
2012-03T00:00:00Z,11.5,0,0
2012-04T00:00:00Z,14.6,0,0
2012-05T00:00:00Z,20.9,0,0
2012-06T00:00:00Z,23.4,0,0
2012-07T00:00:00Z,28,0,0
2012-08T00:00:00Z,27.2,0,0
2012-09T00:00:00Z,21,0,0
2012-10T00:00:00Z,15,0,0
2012-11T00:00:00Z,7.2,0,0
2012-12T00:00:00Z,3.6,0,0
2013-01T00:00:00Z,0.6,0,0
2013-02T00:00:00Z,0.5,0,0
2013-03T00:00:00Z,4.8,0,0
2013-04T00:00:00Z,13.1,0,0
2013-05T00:00:00Z,20.4,0,0
2013-06T00:00:00Z,23.8,0,0
2013-07T00:00:00Z,27.6,0,0
2013-08T00:00:00Z,24.6,0,0
2013-09T00:00:00Z,21,0,0
2013-10T00:00:00Z,15.3,0,0
2013-11T00:00:00Z,7.1,0,0
2013-12T00:00:00Z,1,0,0
# mintemp,,,
 ,eco311,eco311,eco311
TIMESTEP,MEAN(mm/month),VARIANCE(mm/month^2),STD_DEV(mm/month)
1992-01T00:00:00Z,-10.74193548,0,0
1992-02T00:00:00Z,-9.517241379,0,0
1992-03T00:00:00Z,-7,0,0
1992-04T00:00:00Z,-0.6,0,0
1992-05T00:00:00Z,4.888888889,0,0
1992-06T00:00:00Z,10.3,0,0
1992-07T00:00:00Z,12.16129032,0,0
1992-08T00:00:00Z,12.09677419,0,0
1992-09T00:00:00Z,11.3,0,0
1992-10T00:00:00Z,-0.8,0,0
1992-11T00:00:00Z,-2.8,0,0
1992-12T00:00:00Z,-7.6,0,0
1993-01T00:00:00Z,-10.68421053,0,0
1993-02T00:00:00Z,-15.07142857,0,0
1993-03T00:00:00Z,-7.35483871,0,0
1993-04T00:00:00Z,1.068965517,0,0
1993-05T00:00:00Z,6.033333333,0,0
1993-06T00:00:00Z,9.833333333,0,0
1993-07T00:00:00Z,13.09677419,0,0
1993-08T00:00:00Z,13.76666667,0,0
1993-09T00:00:00Z,8.3,0,0
1993-10T00:00:00Z,0.258064516,0,0
1993-11T00:00:00Z,-2.633333333,0,0
